PassengerID,Name,SeatRow,SeatColumn,Class
100000,Carol Williams,1,A,First
100001,Ryan White,1,B,First
100002,Jack Jones,1,C,First
100003,Frank Martin,1,D,First
100004,Alice Wilson,1,E,First
100005,Paul Garcia,1,F,First
100006,Sara Taylor,2,A,First
100007,Eve Thomas,2,B,First
100008,Mia Jones,2,C,First
100009,Grace White,2,D,First
100010,Paul Jones,2,E,First
100012,Eve Smith,2,F,First
100013,Grace Davis,3,A,First
100014,Olivia Anderson,3,B,First
100015,Tom Rodriguez,3,C,First
100016,Alice Smith,3,D,First
100017,Leo White,3,E,First
100018,Carol Davis,3,F,First
100019,Noah Jones,4,A,Business
100020,David Brown,4,B,Business
100021,Leo Davis,4,C,Business
100022,Ryan Thomas,4,D,Business
100023,Quinn Taylor,4,E,Business
100024,Ivy Jackson,4,F,Business
100025,Noah Harris,5,A,Business
100026,Noah Smith,5,B,Business
100027,Kate Anderson,5,C,Business
100028,Bob Jones,5,D,Business
100029,Tom Thomas,5,E,Business
100031,Paul Anderson,5,F,Business
100032,Ryan Harris,6,A,Business
100033,Sara Jackson,6,B,Business
100034,Bob Taylor,6,C,Business
100035,Carol Miller,6,D,Business
100036,Leo Taylor,6,E,Business
100037,Eve Harris,6,F,Business
100038,Henry Smith,7,A,Business
100039,Olivia Wilson,7,B,Business
100040,Quinn Jones,7,C,Business
100041,Tom Harris,7,D,Business
100042,Alice Thomas,7,E,Business
100043,Paul Davis,7,F,Business
100045,Eve Miller,8,A,Business
100047,Eve Williams,8,B,Business
100048,Sara Williams,8,C,Business
100049,Bob Thomas,8,D,Business
100050,Mia Martinez,8,E,Business
100051,Frank Jackson,8,F,Business
100052,Ryan Smith,9,A,Business
100054,Jack Williams,9,B,Business
100055,Noah Williams,9,C,Business
100056,Frank White,9,D,Business
100057,Ivy Smith,9,E,Business
100058,Henry Taylor,9,F,Business
100059,Mia White,10,A,Business
100060,Paul Harris,10,B,Business
100061,Grace Miller,10,C,Business
100063,Jack Miller,10,D,Business
100064,Henry Harris,10,E,Business
100065,Ryan Wilson,10,F,Business
100066,Ivy White,11,A,Economy
100067,Quinn Jackson,11,B,Economy
100068,Noah Garcia,11,C,Economy
100069,Eve Davis,11,D,Economy
100071,Henry Rodriguez,11,E,Economy
100072,Paul Miller,11,F,Economy
100073,Bob Jackson,12,A,Economy
100074,Tom White,12,B,Economy
100076,Bob White,12,C,Economy
100077,Grace Taylor,12,D,Economy
100078,Quinn Rodriguez,12,E,Economy
100079,Kate Williams,12,F,Economy
100080,Leo Rodriguez,13,A,Economy
100081,Bob Miller,13,B,Economy
100082,Frank Brown,13,C,Economy
100083,Jack Wilson,13,D,Economy
100084,David Rodriguez,13,E,Economy
100088,Kate Smith,13,F,Economy
100089,Olivia Johnson,14,A,Economy
100091,Ivy Garcia,14,B,Economy
100094,Jack Martinez,14,C,Economy
100100,Alice Rodriguez,14,D,Economy
100102,Henry Thomas,14,E,Economy
100105,Carol Taylor,14,F,Economy
100106,David Martin,15,A,Economy
100107,Henry Jackson,15,B,Economy
100108,Bob Williams,15,C,Economy
100110,Carol Anderson,15,D,Economy
100113,Sara Davis,15,E,Economy
100114,Mia Martin,15,F,Economy
100115,Jack Anderson,16,A,Economy
100117,Alice Miller,16,B,Economy
100122,David Garcia,16,C,Economy
100124,Bob Martinez,16,D,Economy
100125,Paul Johnson,16,E,Economy
100126,Noah Martinez,16,F,Economy
100127,Carol Martinez,17,A,Economy
100128,Grace Jones,17,B,Economy
100130,Frank Wilson,17,C,Economy
100131,Eve Anderson,17,D,Economy
100132,Alice Jackson,17,E,Economy
100133,Quinn White,17,F,Economy
100134,Paul Thomas,18,A,Economy
100135,Tom Brown,18,B,Economy
100136,Sara Garcia,18,C,Economy
100138,Ryan Johnson,18,D,Economy
100139,Eve Johnson,18,E,Economy
100140,Leo Jackson,18,F,Economy
100141,Quinn Smith,19,A,Economy
100143,Sara Martin,19,B,Economy
100144,Ivy Miller,19,C,Economy
100145,Mia Taylor,19,D,Economy
100146,Noah Martin,19,E,Economy
100147,Leo Jones,19,F,Economy
100148,Sara Anderson,20,A,Economy
100150,Mia Williams,20,B,Economy
100151,Bob Anderson,20,C,Economy
100152,Jack Harris,20,D,Economy
100154,Eve Wilson,20,E,Economy
100155,Leo Johnson,20,F,Economy
100157,Leo Garcia,21,A,Economy
100158,Olivia Smith,21,B,Economy
100160,David Jones,21,C,Economy
100161,Bob Wilson,21,D,Economy
100162,Henry White,21,E,Economy
100163,Frank Davis,21,F,Economy
100164,Bob Johnson,22,A,Economy
100165,Eve Jackson,22,B,Economy
100166,Quinn Wilson,22,C,Economy
100168,Olivia Brown,22,D,Economy
100170,Frank Harris,22,E,Economy
100171,Grace Garcia,22,F,Economy
100176,Grace Smith,23,A,Economy
100179,Jack Rodriguez,23,B,Economy
100182,Leo Martin,23,C,Economy
100184,Quinn Miller,23,D,Economy
100185,Kate White,23,E,Economy
100188,Ryan Davis,23,F,Economy
100189,Ivy Martinez,24,A,Economy
100190,Eve Rodriguez,24,B,Economy
100191,Kate Taylor,24,C,Economy
100192,Eve Martin,24,D,Economy
100193,Jack Martin,24,E,Economy
100194,Grace Anderson,24,F,Economy
100195,Paul Taylor,25,A,Economy
100199,Ryan Brown,25,B,Economy
100200,Frank Jones,25,C,Economy
100201,Mia Jackson,25,D,Economy
100204,Frank Thomas,25,E,Economy
100205,Alice Martin,25,F,Economy
100207,Mia Davis,26,A,Economy
100208,Jack Taylor,26,B,Economy
100210,Ivy Anderson,26,C,Economy
100211,Paul Martinez,26,D,Economy
100212,Mia Brown,26,E,Economy
100213,David Johnson,26,F,Economy
100214,Noah Taylor,27,A,Economy
100215,Mia Anderson,27,B,Economy
100218,Frank Martinez,27,C,Economy
100219,Henry Anderson,27,D,Economy
100220,David Anderson,27,E,Economy
100222,Quinn Brown,27,F,Economy
100223,Kate Johnson,28,A,Economy
100224,Carol Jones,28,B,Economy
100225,Frank Johnson,28,C,Economy
100227,Tom Martinez,28,D,Economy
100229,Carol Garcia,28,E,Economy
100233,Olivia Thomas,28,F,Economy
100235,Olivia Martinez,29,A,Economy
100236,Ivy Wilson,29,B,Economy
100237,Jack Brown,29,C,Economy
100239,Olivia Jones,29,D,Economy
100240,Leo Williams,29,E,Economy
100245,Frank Anderson,29,F,Economy
100250,Noah Thomas,30,A,Economy
100252,Mia Harris,30,B,Economy
100253,Leo Wilson,30,C,Economy
100254,Quinn Williams,30,D,Economy
100255,David Miller,30,E,Economy
100257,David Harris,30,F,Economy
100011,Carol Williams,1,A,First
100030,Ivy Jackson,1,B,First
100044,Paul Jones,1,C,First
100046,Alice Wilson,1,D,First
100053,Bob Taylor,1,E,First
100062,Kate Anderson,1,F,First
100070,Leo Davis,2,A,First
100075,Henry Smith,2,B,First
100085,Alice Smith,2,C,First
100086,Quinn Jackson,2,D,First
100087,Tom Thomas,2,E,First
100090,Noah Garcia,2,F,First
100092,Carol Davis,3,A,First
100093,Noah Jones,3,B,First
100095,Jack Miller,3,C,First
100096,David Brown,3,D,First
100097,Jack Wilson,3,E,First
100098,Sara Williams,3,F,First
100099,Ryan Harris,4,A,Business
100101,Eve Thomas,4,B,Business
100109,Olivia Wilson,4,C,Business
100111,David Martin,4,D,Business
100112,Ryan Thomas,4,E,Business
100118,Ivy Smith,4,F,Business
100119,Tom Rodriguez,5,A,Business
100120,Paul Miller,5,B,Business
100123,Bob Jackson,5,C,Business
100137,Alice Jackson,5,D,Business
100142,Henry Harris,5,E,Business
100149,Jack Williams,5,F,Business
100159,Bob Williams,6,A,Business
100167,Bob Miller,6,B,Business
100169,David Jones,6,C,Business
100173,Eve Miller,6,D,Business
100174,Eve Harris,6,E,Business
100175,Noah Harris,6,F,Business
100177,Ryan White,7,A,Business
100178,Leo White,7,B,Business
100180,Grace Miller,7,C,Business
100181,Olivia Brown,7,D,Business
100197,Sara Martin,7,E,Business
100198,Paul Johnson,7,F,Business
100202,Noah Martinez,8,A,Business
100206,Eve Davis,8,B,Business
100209,Paul Davis,8,C,Business
100217,Leo Jones,8,D,Business
100221,Quinn Taylor,8,E,Business
100226,Bob Martinez,8,F,Business
100228,Quinn Jones,9,A,Business
100231,Leo Jackson,9,B,Business
100234,Henry Taylor,9,C,Business
100238,Noah Williams,9,D,Business
100241,Sara Garcia,9,E,Business
100242,Frank Jackson,9,F,Business
100244,Paul Taylor,10,A,Business
100246,Paul Harris,10,B,Business
100249,Frank White,10,C,Business
100251,Eve Johnson,10,D,Business
100256,Kate Williams,10,E,Business
100258,Bob Thomas,10,F,Business
100259,Paul Martinez,11,A,Economy
100260,Olivia Rodriguez,11,B,Economy
100261,Henry Garcia,11,C,Economy
100262,Ryan Miller,11,D,Economy
100263,Jack Thomas,11,E,Economy
100264,Eve Anderson,11,F,Economy
100265,Sara Wilson,12,A,Economy
100266,Quinn Davis,12,B,Economy
100268,Ivy Rodriguez,12,C,Economy
100269,Ryan Jackson,12,D,Economy
100270,Ryan Garcia,12,E,Economy
100271,Eve Brown,12,F,Economy
100272,Mia Martinez,13,A,Economy
