PassengerID,Name,SeatRow,SeatColumn,Class
109731,Bob Jones,1,A,First
109902,Eve Smith,1,B,First
109939,David Williams,1,C,First
109729,Jack White,1,D,First
109775,Bob Anderson,1,E,First
109851,Olivia Jackson,1,F,First
109999,Grace Davis,2,A,First
109978,David Thomas,2,B,First
109901,Kate Johnson,2,C,First
109693,Henry Miller,2,D,First
109992,Olivia Harris,2,E,First
109955,Henry Taylor,2,F,First
109655,Ivy Davis,3,A,First
109662,Quinn Martinez,3,B,First
109580,Tom Wilson,3,C,First
109755,Alice Taylor,3,D,First
109861,Sara Jones,3,E,First
109897,David Wilson,3,F,First
109950,Carol Johnson,4,A,Business
109587,Alice Taylor,4,B,Business
109853,Alice White,4,C,Business
109928,Alice Anderson,4,D,Business
109612,Kate Wilson,4,E,Business
109991,Mia Martin,4,F,Business
109976,Tom Davis,5,A,Business
109530,Henry Thomas,5,B,Business
109839,Noah Martinez,5,C,Business
109940,Eve Williams,5,D,Business
109929,Sara Brown,5,E,Business
109840,Paul Johnson,5,F,Business
109802,Kate Harris,6,A,Business
109672,Eve Martinez,6,B,Business
109834,Mia Williams,6,C,Business
109932,Grace Harris,6,D,Business
109969,Alice Jones,6,E,Business
109989,Jack Johnson,6,F,Business
109668,Ryan Martinez,7,A,Business
109678,Mia Williams,7,B,Business
109685,Jack Martin,7,C,Business
109946,Quinn Miller,7,D,Business
109830,Tom Smith,7,E,Business
109870,Sara Williams,7,F,Business
109979,Quinn Smith,8,A,Business
109806,Eve Smith,8,B,Business
109398,Ivy Jackson,8,C,Business
109994,Jack Taylor,8,D,Business
109692,Jack Rodriguez,8,E,Business
109914,Henry Miller,8,F,Business
109848,Sara Wilson,9,A,Business
109301,Kate Jones,9,B,Business
109961,Noah Rodriguez,9,C,Business
109959,Kate Harris,9,D,Business
109956,Paul Davis,9,E,Business
109843,Bob Wilson,9,F,Business
109937,Tom Miller,10,A,Business
109363,Sara Davis,10,B,Business
109980,Carol Brown,10,C,Business
109801,Tom Wilson,10,D,Business
109833,Alice Taylor,10,E,Business
109675,Ivy Martinez,10,F,Business
109758,Noah Brown,11,A,Economy
109917,Carol Johnson,11,B,Economy
109573,Mia Anderson,11,C,Economy
109730,Bob Johnson,11,D,Economy
109687,Kate Brown,11,E,Economy
109545,Paul Miller,11,F,Economy
109931,Jack Jones,12,A,Economy
109597,Tom Rodriguez,12,B,Economy
109660,Leo Rodriguez,12,C,Economy
109748,David Jones,12,D,Economy
109778,Frank Harris,12,E,Economy
109998,Eve Jones,12,F,Economy
109679,Sara Martin,13,A,Economy
109906,Leo Johnson,13,B,Economy
109344,Quinn Harris,13,C,Economy
109864,Quinn White,13,D,Economy
109804,Jack Harris,13,E,Economy
109894,Tom Miller,13,F,Economy
109965,Paul Anderson,14,A,Economy
109689,Paul Anderson,14,B,Economy
109986,Mia Anderson,14,C,Economy
109938,Ivy Martinez,14,D,Economy
109973,Quinn Martinez,14,E,Economy
109882,Eve Wilson,14,F,Economy
109919,Quinn Johnson,15,A,Economy
109786,Paul Jackson,15,B,Economy
109988,Eve Miller,15,C,Economy
109818,Leo Thomas,15,D,Economy
109824,Henry Williams,15,E,Economy
109968,Sara Harris,15,F,Economy
109825,Henry Harris,16,A,Economy
